,Angle,Speed,Start Time,Stop Time,Time
931,96,106,1568241439.411518,,1568241315.769671
932,97,106,1568241439.411518,,1568241315.839535
933,99,106,1568241439.411518,,1568241315.845323
934,100,106,1568241439.411518,,1568241315.851595
935,101,106,1568241439.411518,,1568241315.85946
936,100,106,1568241439.411518,,1568241315.927906
937,99,106,1568241439.411518,,1568241315.970362
938,98,106,1568241439.411518,,1568241316.072881
939,97,106,1568241439.411518,,1568241316.228853
940,96,106,1568241439.411518,,1568241316.275112
941,95,106,1568241439.411518,,1568241316.349657
942,94,106,1568241439.411518,,1568241316.392021
943,93,106,1568241439.411518,,1568241316.580093
944,93,108,1568241439.411518,,1568241317.883636
945,93,110,1568241439.411518,,1568241319.628667
946,97,110,1568241439.411518,,1568241320.66801
947,99,110,1568241439.411518,,1568241320.866914
948,101,110,1568241439.411518,,1568241320.873333
949,105,110,1568241439.411518,,1568241320.879769
950,103,110,1568241439.411518,,1568241320.885611
951,107,110,1568241439.411518,,1568241320.889958
952,109,110,1568241439.411518,,1568241320.899898
953,110,110,1568241439.411518,,1568241320.906563
954,111,110,1568241439.411518,,1568241320.912209
955,112,110,1568241439.411518,,1568241320.968159
956,114,110,1568241439.411518,,1568241320.973681
957,115,110,1568241439.411518,,1568241320.982308
958,116,110,1568241439.411518,,1568241320.988205
959,117,110,1568241439.411518,,1568241321.205693
960,116,110,1568241439.411518,,1568241321.373929
961,115,110,1568241439.411518,,1568241321.390052
962,114,110,1568241439.411518,,1568241321.404886
963,112,110,1568241439.411518,,1568241321.417178
964,103,110,1568241439.411518,,1568241321.511875
965,108,110,1568241439.411518,,1568241321.515632
966,110,110,1568241439.411518,,1568241321.511035
967,105,110,1568241439.411518,,1568241321.526592
968,102,110,1568241439.411518,,1568241321.547423
969,100,110,1568241439.411518,,1568241321.555022
970,101,110,1568241439.411518,,1568241321.610867
971,102,110,1568241439.411518,,1568241321.703462
972,101,110,1568241439.411518,,1568241321.807885
973,100,110,1568241439.411518,,1568241321.815037
974,99,110,1568241439.411518,,1568241321.882403
975,100,110,1568241439.411518,,1568241321.902813
976,101,110,1568241439.411518,,1568241322.099594
977,100,110,1568241439.411518,,1568241322.479507
978,99,110,1568241439.411518,,1568241322.587684
979,98,110,1568241439.411518,,1568241322.604534
980,97,110,1568241439.411518,,1568241322.709739
981,96,110,1568241439.411518,,1568241323.192082
982,95,110,1568241439.411518,,1568241323.353588
983,94,110,1568241439.411518,,1568241323.360775
984,93,110,1568241439.411518,,1568241323.401943
985,92,110,1568241439.411518,,1568241323.412216
986,91,110,1568241439.411518,,1568241323.50133
987,90,110,1568241439.411518,,1568241323.81279
988,89,110,1568241439.411518,,1568241323.839462
989,88,110,1568241439.411518,,1568241323.904651
990,87,110,1568241439.411518,,1568241323.9643
991,86,110,1568241439.411518,,1568241324.141041
992,85,110,1568241439.411518,,1568241324.155083
993,84,110,1568241439.411518,,1568241324.234354
994,83,110,1568241439.411518,,1568241324.339653
995,84,110,1568241439.411518,,1568241324.345589
996,85,110,1568241439.411518,,1568241324.636119
997,86,110,1568241439.411518,,1568241324.642843
998,87,110,1568241439.411518,,1568241324.664134
999,88,110,1568241439.411518,,1568241324.69449
1000,89,110,1568241439.411518,,1568241324.716699
1001,90,110,1568241439.411518,,1568241324.729006
1002,91,110,1568241439.411518,,1568241324.741995
1003,92,110,1568241439.411518,,1568241324.756149
1004,93,110,1568241439.411518,,1568241324.77728
1005,95,110,1568241439.411518,,1568241324.828238
1006,98,110,1568241439.411518,,1568241324.834641
1007,96,110,1568241439.411518,,1568241324.840355
1008,100,110,1568241439.411518,,1568241324.847485
1009,102,110,1568241439.411518,,1568241324.863957
1010,104,110,1568241439.411518,,1568241324.875022
1011,105,110,1568241439.411518,,1568241324.894296
1012,106,110,1568241439.411518,,1568241324.960464
1013,107,110,1568241439.411518,,1568241325.046836
1014,108,110,1568241439.411518,,1568241325.052843
1015,110,110,1568241439.411518,,1568241325.064049
1016,111,110,1568241439.411518,,1568241325.192323
1017,112,110,1568241439.411518,,1568241325.198693
1018,113,110,1568241439.411518,,1568241325.205965
1019,112,110,1568241439.411518,,1568241325.294413
1020,111,110,1568241439.411518,,1568241325.34355
1021,110,110,1568241439.411518,,1568241325.349377
1022,109,110,1568241439.411518,,1568241325.360079
1023,107,110,1568241439.411518,,1568241325.376529
1024,106,110,1568241439.411518,,1568241325.394645
1025,105,110,1568241439.411518,,1568241325.409231
1026,103,110,1568241439.411518,,1568241325.474407
1027,101,110,1568241439.411518,,1568241325.478919
1028,99,110,1568241439.411518,,1568241325.488823
1029,100,110,1568241439.411518,,1568241325.496012
1030,98,110,1568241439.411518,,1568241325.502325
1031,97,110,1568241439.411518,,1568241325.536685
1032,96,110,1568241439.411518,,1568241325.545839
1033,95,110,1568241439.411518,,1568241325.551931
1034,94,110,1568241439.411518,,1568241325.560734
1035,93,110,1568241439.411518,,1568241325.576186
1036,92,110,1568241439.411518,,1568241325.611283
1037,91,110,1568241439.411518,,1568241325.637033
1038,90,110,1568241439.411518,,1568241325.745629
1039,91,110,1568241439.411518,,1568241325.885115
1040,92,110,1568241439.411518,,1568241325.888963
1041,93,110,1568241439.411518,,1568241325.928058
1042,92,110,1568241439.411518,,1568241326.099652
1043,93,110,1568241439.411518,,1568241326.362366
1044,94,110,1568241439.411518,,1568241326.504931
1045,95,110,1568241439.411518,,1568241326.596987
1046,96,110,1568241439.411518,,1568241327.005917
1047,97,110,1568241439.411518,,1568241327.015985
1048,98,110,1568241439.411518,,1568241327.218807
1049,99,110,1568241439.411518,,1568241327.231181
1050,100,110,1568241439.411518,,1568241327.238486
1051,101,110,1568241439.411518,,1568241327.24597
1052,102,110,1568241439.411518,,1568241327.330696
1053,101,110,1568241439.411518,,1568241327.605194
1054,100,110,1568241439.411518,,1568241327.72063
1055,99,110,1568241439.411518,,1568241328.368865
1056,98,110,1568241439.411518,,1568241328.4327
1057,97,110,1568241439.411518,,1568241328.520879
1058,96,110,1568241439.411518,,1568241328.583652
1059,95,110,1568241439.411518,,1568241328.660777
1060,94,110,1568241439.411518,,1568241328.877692
1061,95,110,1568241439.411518,,1568241328.881445
1062,96,110,1568241439.411518,,1568241329.15359
1063,97,110,1568241439.411518,,1568241329.15739
1064,98,110,1568241439.411518,,1568241329.183071
1065,99,110,1568241439.411518,,1568241329.195006
1066,100,110,1568241439.411518,,1568241329.285123
1067,99,110,1568241439.411518,,1568241329.351747
1068,98,110,1568241439.411518,,1568241329.431979
1069,97,110,1568241439.411518,,1568241329.454417
1070,96,110,1568241439.411518,,1568241329.546305
1071,95,110,1568241439.411518,,1568241329.654199
1072,94,110,1568241439.411518,,1568241329.810174
1073,93,110,1568241439.411518,,1568241330.06772
1074,92,110,1568241439.411518,,1568241330.192967
1075,91,110,1568241439.411518,,1568241330.390541
1076,90,110,1568241439.411518,,1568241330.397316
1077,89,110,1568241439.411518,,1568241330.482661
1078,88,110,1568241439.411518,,1568241330.58852
1079,89,110,1568241439.411518,,1568241330.691939
1080,91,110,1568241439.411518,,1568241330.794162
1081,90,110,1568241439.411518,,1568241330.797556
1082,92,110,1568241439.411518,,1568241330.801401
1083,93,110,1568241439.411518,,1568241330.825916
1084,94,110,1568241439.411518,,1568241330.887881
1085,95,110,1568241439.411518,,1568241330.891942
1086,96,110,1568241439.411518,,1568241330.898145
1087,100,110,1568241439.411518,,1568241330.915977
1088,98,110,1568241439.411518,,1568241330.917753
1089,103,110,1568241439.411518,,1568241330.940638
1090,104,110,1568241439.411518,,1568241330.981339
1091,107,110,1568241439.411518,,1568241330.989014
1092,108,110,1568241439.411518,,1568241331.005901
1093,110,110,1568241439.411518,,1568241331.012025
1094,111,110,1568241439.411518,,1568241331.018422
1095,112,110,1568241439.411518,,1568241331.037976
1096,114,110,1568241439.411518,,1568241331.100741
1097,113,110,1568241439.411518,,1568241331.107137
1098,116,110,1568241439.411518,,1568241331.112671
1099,118,110,1568241439.411518,,1568241331.119234
1100,121,110,1568241439.411518,,1568241331.125386
1101,123,110,1568241439.411518,,1568241331.132036
1102,125,110,1568241439.411518,,1568241331.219421
1103,126,110,1568241439.411518,,1568241331.22571
1104,127,110,1568241439.411518,,1568241331.232156
1105,129,110,1568241439.411518,,1568241331.23788
1106,130,110,1568241439.411518,,1568241331.245773
1107,131,110,1568241439.411518,,1568241331.254225
1108,133,110,1568241439.411518,,1568241331.29114
1109,134,110,1568241439.411518,,1568241331.29498
1110,133,110,1568241439.411518,,1568241331.397443
1111,132,110,1568241439.411518,,1568241331.495599
1112,129,110,1568241439.411518,,1568241331.760184
1113,130,110,1568241439.411518,,1568241331.763993
1114,131,110,1568241439.411518,,1568241331.768682
1115,128,110,1568241439.411518,,1568241331.774595
1116,126,110,1568241439.411518,,1568241331.817553
1117,125,110,1568241439.411518,,1568241331.822267
1118,123,110,1568241439.411518,,1568241331.830775
1119,121,110,1568241439.411518,,1568241331.837108
1120,119,110,1568241439.411518,,1568241331.842617
1121,117,110,1568241439.411518,,1568241331.849072
1122,114,110,1568241439.411518,,1568241331.859291
1123,112,110,1568241439.411518,,1568241331.927776
1124,108,110,1568241439.411518,,1568241331.934043
1125,110,110,1568241439.411518,,1568241331.941738
1126,106,110,1568241439.411518,,1568241331.945721
1127,104,110,1568241439.411518,,1568241331.954359
1128,102,110,1568241439.411518,,1568241331.964551
1129,101,110,1568241439.411518,,1568241332.011213
1130,100,110,1568241439.411518,,1568241332.017507
1131,99,110,1568241439.411518,,1568241332.034048
1132,98,110,1568241439.411518,,1568241332.058715
1133,97,110,1568241439.411518,,1568241332.238417
1134,98,110,1568241439.411518,,1568241332.349647
1135,99,110,1568241439.411518,,1568241332.428948
1136,100,110,1568241439.411518,,1568241332.527143
1137,99,110,1568241439.411518,,1568241332.729069
1138,98,110,1568241439.411518,,1568241332.735618
1139,97,110,1568241439.411518,,1568241332.83878
1140,96,110,1568241439.411518,,1568241333.482022
1141,95,110,1568241439.411518,,1568241333.536972
1142,94,110,1568241439.411518,,1568241333.574505
1143,93,110,1568241439.411518,,1568241333.598851
1144,92,110,1568241439.411518,,1568241333.648537
1145,91,110,1568241439.411518,,1568241333.654539
1146,90,110,1568241439.411518,,1568241333.669552
1147,89,110,1568241439.411518,,1568241333.682708
1148,88,110,1568241439.411518,,1568241333.696003
1149,87,110,1568241439.411518,,1568241333.735324
1150,86,110,1568241439.411518,,1568241333.741374
1151,85,110,1568241439.411518,,1568241333.748814
1152,84,110,1568241439.411518,,1568241333.779482
1153,85,110,1568241439.411518,,1568241333.850162
1154,86,110,1568241439.411518,,1568241333.881427
1155,88,110,1568241439.411518,,1568241333.895624
1156,90,110,1568241439.411518,,1568241333.947624
1157,92,110,1568241439.411518,,1568241333.952343
1158,95,110,1568241439.411518,,1568241333.961025
1159,98,110,1568241439.411518,,1568241333.968364
1160,102,110,1568241439.411518,,1568241333.987517
1161,106,110,1568241439.411518,,1568241333.99677
1162,110,110,1568241439.411518,,1568241334.026889
1163,113,110,1568241439.411518,,1568241334.032534
1164,115,110,1568241439.411518,,1568241334.051257
1165,116,110,1568241439.411518,,1568241334.063504
1166,117,110,1568241439.411518,,1568241334.080026
1167,119,110,1568241439.411518,,1568241334.097216
1168,120,110,1568241439.411518,,1568241334.138965
1169,122,110,1568241439.411518,,1568241334.148928
